id;numero_ot;codigo_actividad;Prioridad;frecuencia_new;dia_semana;semana_mes;mes;dia_mes;actividad;duracion;observaciones;fecha_creacion;;;
166;29;AS166;Alta;Anual;4;4;10;0;Apretar zonas de transición de corriente atornilladas ;60;Electricista;2026-01-13 12:11:23;;;
167;29;AS167;Alta;Anual;4;3;12;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
168;29;AS168;Alta;Anual;3;2;6;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
169;29;AS169;Alta;Anual;1;2;7;0;Revisión de bomba de lubricación e hidráulico ;80;Electricista;2026-01-13 12:11:23;;;
170;29;AS170;Alta;Anual;4;1;6;0;Revisión de motores ;80;Electricista;2026-01-13 12:11:23;;;
171;29;AS171;Alta;Anual;3;3;4;0;Apretar zonas de transición de corriente atornilladas ;60;Electricista;2026-01-13 12:11:23;;;
172;29;AS172;Alta;Anual;6;4;6;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
173;29;AS173;Alta;Anual;3;4;8;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
174;29;AS174;Alta;Anual;4;3;6;0;Revisión de motores ;60;Electricista;2026-01-13 12:11:23;;;
175;169;AS175;Alta;Diaria;0;0;0;0;Limpieza de apilador de laminas ;2;Operador;2026-01-13 12:11:23;;;
176;169;AS176;Alta;Diaria;0;0;0;0;Limpieza de brazos de sujeción de láminas ;2;Operador;2026-01-13 12:11:23;;;
177;169;AS177;Alta;Diaria;0;0;0;0;Limpieza de apilador de laminas ;2;Operador;2026-01-13 12:11:23;;;
178;169;AS178;Alta;Diaria;0;0;0;0;Limpieza de brazos de sujeción de láminas ;2;Operador;2026-01-13 12:11:23;;;
179;169;AS179;Alta;Diaria;0;0;0;0;Limpieza de filos ;2;Operador;2026-01-13 12:11:23;;;
180;210;AS180;Alta;Semanal;5;0;0;0;Comprobación de fugas en el sistema neumático e hidráulico ;30;Mecánico;2026-01-13 12:11:23;;;
181;210;AS181;Alta;Quincenal;6;1;0;0;Engrasado de guía circular de la mesa de alineación ;20;Mecánico;2026-01-13 12:11:23;;;
182;210;AS182;Alta;Mensual;5;2;0;0;Lubricacion de transportador de entrada ;25;Mecánico;2026-01-13 12:11:23;;;
183;210;AS183;Alta;Quincenal;5;1;0;0;Revisión y comprobación de elevador de láminas ;20;Mecánico;2026-01-13 12:11:23;;;
184;210;AS184;Alta;Mensual;5;3;0;0;Verificación de nivel de aceite hidráulico ;10;Mecánico;2026-01-13 12:11:23;;;
185;210;AS185;Alta;Semanal;2;0;0;0;Comprobación de fugas en el sistema neumático e hidráulico ;30;Mecánico;2026-01-13 12:11:23;;;
